Student_ID,Region,Gender,Enrollment_Type,Subject_Group,SSC_I_Marks,SSC_II_Marks,HSSC_I_Marks,Attendance_Rate,Parent_Education_Level,Parent_Income,Study_Hours,Extra_Tuition,School_Type,Previous_Failures,Co_Curricular_Activities,Exam_Attempts,HSSC_II_Marks,HSSC_II_Grade
9895,Charsadda,Female,Private,Arts,367,559,574,74.86,Graduate,Medium,3.1,No,Public,0,Yes,2,504,C
9896,Peshawar,Male,Regular,Arts,365,475,512,70.97,Graduate,Low,2.0,Yes,Public,2,Yes,1,699,B
9897,Mohmand,Female,Private,Arts,672,501,479,58.96,College,High,2.74,No,Private,1,No,2,658,B
9898,Mohmand,Male,Private,Science,772,751,356,69.38,High School,Medium,4.28,No,Private,2,Yes,1,750,A
9899,Chitral,Female,Private,Science,392,691,614,60.83,Graduate,Low,4.26,No,Public,1,No,1,486,D
9900,Mohmand,Male,Private,Science,644,477,820,82.13,Graduate,Medium,2.64,No,Private,0,No,2,609,B
9901,Peshawar,Female,Regular,Arts,305,623,811,77.62,College,Low,1.41,Yes,Public,1,No,1,635,B
9902,Charsadda,Female,Private,Arts,462,582,391,53.43,College,High,2.01,Yes,Private,2,Yes,1,507,C
9903,Chitral,Female,Private,Science,341,601,398,89.54,College,High,4.07,Yes,Private,1,Yes,2,767,A
9904,Mohmand,Female,Regular,Arts,487,763,413,89.28,High School,Medium,2.27,No,Private,1,No,1,497,D
9905,Charsadda,Male,Private,Science,355,536,715,75.74,College,Medium,1.51,No,Public,1,No,2,591,C
9906,Chitral,Male,Regular,Science,605,427,742,92.58,College,Low,4.44,Yes,Private,0,No,1,688,B
9907,Charsadda,Female,Regular,Science,376,503,396,94.66,Graduate,Low,3.4,Yes,Public,0,Yes,2,793,A
9908,Chitral,Female,Private,Arts,466,657,786,51.95,Graduate,Low,3.78,No,Private,1,No,2,353,Fail
9909,Khyber,Female,Private,Arts,432,549,395,57.66,College,Medium,1.94,Yes,Private,2,No,2,791,A
9910,Mohmand,Female,Private,Arts,382,556,689,75.69,College,Medium,4.36,No,Private,0,Yes,2,773,A
9911,Chitral,Male,Private,Science,620,531,838,68.86,College,High,1.64,Yes,Public,0,Yes,1,342,Fail
9912,Mohmand,Male,Private,Arts,638,641,329,94.91,College,Medium,2.43,No,Public,2,Yes,2,674,B
9913,Chitral,Male,Private,Science,812,827,610,96.33,High School,High,3.38,No,Public,0,Yes,2,397,Fail
9914,Mohmand,Female,Regular,Science,783,395,471,61.55,College,Low,1.3,No,Private,2,No,1,710,A
9915,Chitral,Male,Regular,Arts,531,416,583,76.4,College,Medium,4.59,No,Private,1,Yes,2,358,Fail
9916,Charsadda,Male,Private,Science,350,321,385,88.36,College,High,1.13,Yes,Private,0,No,2,673,B
9917,Charsadda,Female,Regular,Science,304,661,542,74.19,College,Medium,4.44,No,Public,1,Yes,2,849,A-ONE
9918,Peshawar,Female,Regular,Arts,818,394,811,74.01,High School,Medium,4.8,No,Public,1,No,2,368,Fail
9919,Chitral,Male,Regular,Science,682,380,661,86.88,College,High,4.9,Yes,Public,1,No,1,803,A-ONE
9920,Chitral,Female,Private,Science,672,499,679,61.25,High School,Low,4.7,No,Public,0,No,2,846,A-ONE
9921,Peshawar,Female,Regular,Science,752,424,413,83.15,High School,High,4.56,Yes,Private,2,Yes,1,774,A
9922,Khyber,Female,Private,Science,458,813,345,66.65,High School,Low,1.98,Yes,Private,0,Yes,1,796,A
9923,Charsadda,Male,Regular,Arts,707,795,842,96.84,College,Low,3.98,Yes,Private,0,No,2,410,D
9924,Chitral,Female,Regular,Arts,493,559,507,79.45,Graduate,Low,4.89,No,Public,0,Yes,1,773,A
9925,Khyber,Female,Private,Arts,455,627,842,82.93,High School,High,4.26,Yes,Private,0,No,2,491,D
9926,Peshawar,Male,Regular,Arts,430,464,450,89.96,Graduate,Medium,4.83,Yes,Private,0,Yes,2,436,D
9927,Khyber,Female,Regular,Arts,536,789,624,71.45,High School,Low,4.25,No,Private,1,Yes,2,507,C
9928,Mohmand,Female,Private,Arts,390,444,430,84.0,High School,Low,4.74,Yes,Public,0,No,2,574,C
9929,Mohmand,Male,Private,Science,553,419,457,81.91,High School,High,2.14,No,Private,0,No,1,312,Fail
9930,Khyber,Female,Private,Science,517,831,578,92.41,High School,Low,3.8,No,Public,0,Yes,1,529,C
9931,Charsadda,Male,Regular,Arts,727,799,486,87.78,College,High,4.5,No,Private,2,Yes,1,535,C
9932,Charsadda,Female,Regular,Arts,745,493,328,57.82,High School,Medium,3.89,No,Public,0,No,2,488,D
9933,Peshawar,Female,Regular,Science,656,830,788,63.9,High School,Low,3.24,Yes,Private,1,Yes,1,800,A-ONE
9934,Khyber,Female,Regular,Science,328,304,810,52.04,Graduate,Medium,1.75,Yes,Public,1,No,1,776,A
9935,Khyber,Male,Regular,Arts,826,581,757,50.81,High School,Low,1.87,Yes,Private,1,Yes,1,833,A-ONE
9936,Peshawar,Female,Regular,Science,457,485,563,88.65,High School,High,4.51,Yes,Private,2,No,1,616,B
9937,Peshawar,Male,Private,Science,562,493,343,88.35,College,High,1.47,Yes,Private,0,No,2,699,B
9938,Peshawar,Female,Private,Science,644,742,481,92.61,Graduate,Medium,2.07,No,Private,2,No,1,396,Fail
9939,Khyber,Female,Private,Arts,377,556,579,82.54,High School,Low,3.57,No,Private,0,Yes,2,445,D
9940,Peshawar,Female,Private,Arts,644,568,338,74.7,Graduate,High,4.34,No,Private,2,No,2,538,C
9941,Peshawar,Male,Regular,Arts,529,792,641,86.01,College,Low,1.57,No,Public,2,No,2,763,A
9942,Chitral,Female,Regular,Arts,663,311,621,51.65,Graduate,Low,4.95,Yes,Public,0,No,2,522,C
9943,Mohmand,Male,Regular,Arts,527,760,532,87.46,High School,Low,2.97,No,Private,1,Yes,1,542,C
9944,Peshawar,Female,Private,Arts,755,323,549,68.2,High School,Low,2.76,Yes,Public,1,No,2,436,D
9945,Khyber,Female,Regular,Science,695,361,476,74.95,High School,Low,4.14,No,Public,0,No,2,445,D
9946,Chitral,Female,Private,Arts,682,318,342,76.79,Graduate,Low,3.28,Yes,Private,1,No,2,822,A-ONE
9947,Chitral,Male,Regular,Science,676,680,811,97.82,High School,Medium,3.38,No,Private,1,Yes,1,769,A
9948,Khyber,Male,Regular,Science,536,419,544,64.72,College,Low,4.56,No,Private,0,No,2,656,B
9949,Khyber,Male,Regular,Arts,746,476,739,82.15,High School,Low,4.93,Yes,Public,1,Yes,2,417,D
9950,Chitral,Female,Regular,Science,715,668,838,60.16,College,Low,4.39,No,Public,0,No,1,541,C
9951,Mohmand,Male,Private,Arts,336,752,528,78.19,Graduate,Low,1.51,No,Public,1,No,2,350,Fail
9952,Charsadda,Male,Regular,Science,816,377,720,99.75,Graduate,High,3.06,Yes,Private,2,Yes,2,730,A
9953,Peshawar,Female,Regular,Arts,830,539,497,58.24,Graduate,High,3.83,No,Private,2,Yes,2,684,B
9954,Chitral,Female,Regular,Arts,422,617,567,96.99,College,Medium,1.1,Yes,Public,0,Yes,2,756,A
9955,Charsadda,Female,Private,Arts,787,799,705,97.92,High School,Medium,1.38,No,Private,1,No,1,480,D
9956,Peshawar,Female,Regular,Arts,528,530,526,64.97,College,High,4.71,Yes,Public,0,Yes,1,741,A
9957,Mohmand,Female,Regular,Science,794,446,339,87.86,High School,High,1.87,Yes,Public,0,Yes,1,696,B
9958,Mohmand,Male,Regular,Science,637,727,783,55.68,Graduate,Low,4.85,Yes,Private,0,No,2,359,Fail
9959,Chitral,Male,Regular,Science,727,832,316,91.99,Graduate,High,4.79,Yes,Public,1,No,1,502,C
9960,Mohmand,Female,Regular,Science,588,421,594,91.66,College,Medium,3.94,Yes,Private,2,No,1,717,A
9961,Peshawar,Male,Regular,Science,720,546,755,87.07,Graduate,Medium,2.34,Yes,Public,1,Yes,1,842,A-ONE
9962,Peshawar,Male,Regular,Arts,638,646,446,75.29,College,Low,4.82,Yes,Private,0,Yes,2,750,A
9963,Peshawar,Female,Regular,Arts,362,823,588,84.75,College,Medium,3.41,No,Private,0,Yes,2,742,A
9964,Mohmand,Female,Private,Arts,510,320,540,85.92,High School,Medium,3.18,Yes,Public,2,Yes,2,519,C
9965,Charsadda,Male,Private,Arts,813,569,631,71.71,College,High,4.46,Yes,Private,0,No,2,547,C
9966,Charsadda,Female,Regular,Arts,352,401,537,99.13,Graduate,Medium,1.11,No,Public,2,No,1,683,B
9967,Chitral,Male,Regular,Arts,431,801,514,63.1,High School,Medium,2.96,Yes,Public,2,No,1,502,C
9968,Chitral,Male,Private,Science,739,493,509,81.55,High School,High,1.85,No,Public,0,No,1,837,A-ONE
9969,Charsadda,Female,Regular,Arts,678,707,413,96.15,Graduate,Low,1.94,No,Public,0,No,1,754,A
9970,Chitral,Female,Regular,Arts,700,641,544,58.29,College,High,2.36,No,Public,2,Yes,2,763,A
9971,Charsadda,Male,Private,Science,712,649,377,92.13,Graduate,Medium,1.44,Yes,Public,0,No,2,603,B
9972,Peshawar,Female,Regular,Science,317,373,580,93.15,High School,Low,1.83,Yes,Private,0,Yes,1,441,D
9973,Peshawar,Male,Regular,Arts,501,828,363,84.4,College,Medium,1.57,No,Private,0,Yes,2,346,Fail
9974,Mohmand,Female,Regular,Science,551,480,410,65.6,Graduate,Low,3.04,No,Public,0,No,2,320,Fail
9975,Peshawar,Female,Regular,Science,783,768,455,74.44,Graduate,Medium,1.64,No,Private,0,No,1,594,C
9976,Peshawar,Female,Regular,Science,768,797,523,59.17,High School,High,4.65,Yes,Public,0,Yes,2,611,B
9977,Mohmand,Male,Private,Arts,620,567,507,84.01,College,Medium,3.75,No,Public,2,No,1,838,A-ONE
9978,Mohmand,Female,Regular,Science,650,535,842,50.08,College,Medium,2.96,No,Private,1,No,1,742,A
9979,Mohmand,Male,Private,Science,812,550,668,58.71,Graduate,Medium,2.36,No,Private,1,No,2,810,A-ONE
9980,Khyber,Male,Private,Arts,766,445,640,60.44,College,Low,4.88,Yes,Private,0,No,1,579,C
9981,Peshawar,Female,Regular,Science,394,350,617,54.99,Graduate,Medium,4.97,No,Private,1,No,1,417,D
9982,Mohmand,Male,Private,Science,687,666,475,58.26,Graduate,Low,2.36,Yes,Public,0,No,1,572,C
9983,Khyber,Male,Regular,Arts,470,768,594,79.84,High School,High,1.85,No,Private,0,No,2,507,C
9984,Peshawar,Female,Private,Arts,679,696,651,67.98,High School,Medium,3.44,No,Private,0,Yes,1,453,D
9985,Charsadda,Female,Regular,Arts,530,726,480,62.87,High School,Medium,2.24,No,Private,2,Yes,2,396,Fail
9986,Khyber,Female,Private,Arts,810,531,613,50.37,High School,High,1.45,No,Private,1,Yes,1,703,A
9987,Chitral,Male,Private,Arts,802,497,547,73.76,Graduate,Medium,2.17,Yes,Private,1,No,1,621,B
9988,Charsadda,Female,Private,Arts,423,761,417,97.03,Graduate,Medium,4.56,Yes,Public,0,Yes,2,825,A-ONE
9989,Peshawar,Male,Regular,Science,383,528,603,83.77,High School,Low,3.41,No,Private,1,Yes,2,319,Fail
9990,Chitral,Female,Regular,Arts,325,548,792,56.9,College,Medium,3.66,Yes,Private,2,Yes,2,532,C
9991,Chitral,Male,Private,Science,697,575,761,70.41,Graduate,Medium,1.51,Yes,Private,1,No,1,687,B
9992,Khyber,Male,Private,Arts,771,564,363,79.82,High School,Medium,1.16,No,Private,2,Yes,1,358,Fail
9993,Charsadda,Male,Private,Science,641,712,669,65.69,Graduate,Low,1.12,Yes,Private,2,Yes,1,684,B
9994,Chitral,Male,Private,Arts,460,360,690,65.65,College,High,4.79,Yes,Private,1,No,1,710,A
9995,Chitral,Male,Private,Science,440,312,834,77.74,College,Medium,2.3,No,Public,2,Yes,1,508,C
9996,Khyber,Female,Private,Science,780,374,594,92.41,High School,High,4.57,Yes,Private,0,Yes,2,691,B
9997,Mohmand,Male,Regular,Science,494,480,399,82.46,Graduate,Low,1.55,No,Private,2,No,1,526,C
9998,Chitral,Male,Regular,Arts,624,736,481,90.25,Graduate,Medium,4.61,Yes,Public,0,Yes,1,311,Fail
9999,Peshawar,Female,Regular,Arts,572,835,479,86.6,College,Low,3.13,Yes,Private,0,Yes,1,610,B
10000,Mohmand,Female,Private,Science,573,665,597,71.79,Graduate,Low,1.15,Yes,Private,1,No,1,329,Fail
10001,Khyber,Male,Private,Arts,424,676,796,76.55,Graduate,Medium,2.11,No,Private,0,Yes,1,825,A-ONE
10002,Peshawar,Female,Private,Arts,612,711,329,70.13,Graduate,High,2.26,No,Private,0,No,2,543,C
10003,Mohmand,Male,Private,Arts,812,820,762,78.66,College,Medium,3.52,Yes,Private,1,No,2,362,Fail
10004,Chitral,Male,Regular,Arts,460,743,387,70.09,College,Medium,3.05,No,Private,1,Yes,1,667,B
10005,Peshawar,Female,Private,Arts,323,790,740,71.35,Graduate,Low,2.58,No,Private,1,Yes,2,836,A-ONE
10006,Charsadda,Female,Private,Arts,560,771,315,56.61,College,Low,1.93,Yes,Public,2,Yes,1,817,A-ONE
10007,Mohmand,Female,Regular,Science,468,347,642,90.11,Graduate,High,1.61,No,Public,1,Yes,2,715,A
10008,Mohmand,Female,Private,Arts,672,437,842,80.09,High School,Low,3.76,Yes,Public,2,Yes,2,439,D
10009,Khyber,Female,Private,Arts,520,810,698,80.46,High School,Medium,2.15,Yes,Public,2,No,1,751,A
10010,Peshawar,Male,Regular,Arts,395,335,741,54.59,College,Medium,2.91,Yes,Private,0,Yes,1,503,C
10011,Mohmand,Female,Private,Science,402,588,603,51.77,College,High,2.3,No,Private,2,Yes,1,801,A-ONE
10012,Mohmand,Male,Regular,Arts,318,776,364,57.81,College,Medium,4.13,No,Private,2,No,2,506,C
10013,Mohmand,Female,Private,Arts,790,506,812,83.88,College,Low,1.95,No,Public,1,No,1,751,A
10014,Mohmand,Female,Regular,Science,706,552,821,89.35,College,High,1.89,Yes,Public,0,No,1,376,Fail
10015,Charsadda,Female,Private,Arts,501,578,819,52.52,High School,Medium,3.14,No,Public,1,Yes,1,698,B
10016,Chitral,Female,Private,Arts,438,566,769,67.82,High School,Low,4.1,No,Private,2,No,2,340,Fail
10017,Chitral,Male,Regular,Arts,688,384,319,64.81,High School,Medium,4.78,No,Public,2,No,1,578,C
10018,Khyber,Female,Private,Science,659,785,516,61.96,Graduate,High,3.65,No,Private,1,Yes,2,471,D
10019,Chitral,Female,Private,Arts,486,741,639,73.99,College,Low,3.79,Yes,Public,1,Yes,1,460,D
10020,Mohmand,Male,Regular,Arts,540,713,820,72.41,High School,Low,4.69,No,Public,0,No,2,812,A-ONE
10021,Chitral,Male,Private,Arts,576,530,569,52.18,Graduate,High,3.19,Yes,Public,2,No,2,318,Fail
10022,Khyber,Male,Private,Science,520,694,413,73.22,Graduate,Low,2.02,No,Private,2,Yes,2,477,D
10023,Peshawar,Male,Private,Science,351,844,763,74.84,College,Medium,1.52,Yes,Private,0,Yes,1,813,A-ONE
10024,Chitral,Female,Regular,Science,356,528,354,71.13,High School,Medium,3.06,No,Public,2,Yes,1,325,Fail
10025,Peshawar,Male,Regular,Science,316,344,501,54.04,High School,Low,2.43,No,Public,1,No,1,569,C
10026,Chitral,Female,Regular,Science,835,784,510,78.81,College,High,3.28,No,Public,2,Yes,1,535,C
10027,Mohmand,Female,Private,Arts,842,714,703,70.77,College,High,4.18,No,Private,1,No,2,431,D
10028,Khyber,Male,Private,Arts,341,818,781,87.4,Graduate,High,2.07,No,Private,2,No,1,807,A-ONE
10029,Khyber,Male,Private,Science,544,355,313,56.1,College,High,4.94,Yes,Public,1,Yes,1,790,A
10030,Chitral,Male,Regular,Science,636,828,807,55.21,College,Medium,1.11,Yes,Public,1,Yes,1,569,C
10031,Mohmand,Male,Regular,Arts,730,745,579,86.34,Graduate,Medium,2.78,Yes,Public,2,No,1,631,B
10032,Chitral,Female,Regular,Science,695,355,308,89.14,College,High,3.17,No,Public,1,No,2,846,A-ONE
10033,Chitral,Female,Private,Science,526,349,417,93.8,Graduate,Medium,3.92,No,Public,1,Yes,2,502,C
10034,Charsadda,Female,Regular,Arts,401,462,720,98.74,High School,High,2.38,Yes,Public,0,No,1,331,Fail
10035,Peshawar,Male,Private,Arts,458,744,756,80.07,High School,Medium,1.99,Yes,Public,1,No,2,396,Fail
10036,Peshawar,Male,Regular,Science,579,308,699,67.19,College,Low,3.32,No,Private,2,Yes,2,419,D
10037,Mohmand,Male,Private,Science,725,303,390,62.68,College,Medium,2.45,No,Private,1,No,1,471,D
10038,Khyber,Female,Regular,Arts,303,701,774,74.84,Graduate,Medium,4.76,Yes,Private,0,No,1,549,C
10039,Charsadda,Female,Private,Science,355,641,611,50.15,High School,Low,3.49,No,Public,0,No,1,723,A
10040,Khyber,Female,Private,Arts,791,428,470,98.72,College,Medium,3.44,Yes,Public,2,Yes,2,502,C
10041,Chitral,Male,Private,Arts,552,757,821,83.85,College,Medium,3.11,Yes,Private,2,Yes,2,590,C
10042,Charsadda,Male,Regular,Science,786,341,414,97.0,Graduate,Medium,2.29,No,Private,0,No,2,351,Fail
10043,Chitral,Male,Regular,Science,340,381,610,92.93,Graduate,Low,4.33,Yes,Public,2,No,1,417,D
10044,Chitral,Male,Regular,Science,762,548,724,65.75,High School,Low,4.23,No,Private,2,Yes,2,663,B
10045,Khyber,Female,Private,Arts,833,386,687,73.5,College,Low,3.3,No,Private,2,No,1,375,Fail
10046,Chitral,Male,Private,Arts,529,784,603,84.24,Graduate,Low,4.83,Yes,Private,0,No,2,382,Fail
10047,Mohmand,Female,Regular,Arts,541,666,815,91.34,College,Medium,1.91,Yes,Public,1,Yes,1,478,D
10048,Peshawar,Male,Private,Science,610,394,351,77.23,College,Medium,1.7,Yes,Private,2,Yes,2,538,C
10049,Chitral,Male,Regular,Arts,415,809,573,53.24,Graduate,High,3.16,No,Private,1,Yes,1,592,C
10050,Peshawar,Female,Private,Science,328,522,805,75.81,College,Low,2.5,No,Public,1,No,1,675,B
10051,Chitral,Female,Regular,Arts,711,822,628,91.39,Graduate,Low,3.65,Yes,Private,0,No,2,619,B
10052,Chitral,Female,Private,Science,758,405,595,78.44,College,High,3.46,No,Private,0,No,1,681,B
10053,Khyber,Female,Regular,Arts,737,530,465,67.11,High School,High,4.81,Yes,Private,0,No,2,402,D
10054,Chitral,Male,Private,Arts,775,768,565,55.75,College,Medium,1.56,Yes,Public,2,No,2,786,A
10055,Charsadda,Female,Private,Science,803,684,463,62.84,College,High,3.88,No,Private,1,No,1,765,A
10056,Peshawar,Male,Private,Science,591,800,447,60.47,College,High,4.05,Yes,Private,1,Yes,1,758,A
10057,Mohmand,Female,Private,Arts,756,355,820,84.77,High School,Low,2.82,No,Private,0,Yes,2,562,C
10058,Mohmand,Female,Private,Arts,811,535,758,50.98,High School,High,3.44,Yes,Public,1,Yes,1,315,Fail
10059,Chitral,Male,Private,Arts,566,815,542,96.21,Graduate,High,3.37,No,Public,2,No,1,668,B
10060,Mohmand,Male,Regular,Arts,362,305,420,61.16,Graduate,Medium,3.96,Yes,Private,2,No,1,731,A
10061,Peshawar,Female,Private,Arts,748,358,319,82.23,Graduate,Low,1.91,Yes,Public,0,No,2,405,D
10062,Peshawar,Male,Private,Science,405,501,386,63.71,College,Low,2.58,Yes,Public,0,No,2,774,A
10063,Chitral,Male,Regular,Science,763,300,376,80.66,College,Medium,2.78,No,Public,1,Yes,2,528,C
10064,Peshawar,Male,Regular,Science,433,796,681,57.97,Graduate,Medium,1.32,No,Public,1,Yes,2,429,D
10065,Peshawar,Female,Regular,Science,465,638,454,56.91,College,Medium,3.9,Yes,Public,2,No,1,352,Fail
10066,Mohmand,Male,Private,Science,686,570,417,68.02,Graduate,Medium,1.77,No,Public,2,Yes,2,308,Fail
10067,Khyber,Male,Private,Arts,304,591,561,64.88,Graduate,Low,3.15,No,Private,1,Yes,1,777,A
10068,Peshawar,Female,Private,Science,783,770,767,55.13,High School,High,2.03,Yes,Private,0,Yes,1,755,A
10069,Charsadda,Male,Private,Arts,617,314,380,95.08,Graduate,Medium,3.21,No,Private,0,Yes,2,413,D
10070,Khyber,Male,Regular,Arts,716,749,569,58.42,High School,Medium,3.78,No,Private,2,No,1,694,B
10071,Peshawar,Male,Regular,Arts,554,352,802,91.2,High School,Medium,3.34,No,Public,1,Yes,1,638,B
10072,Chitral,Female,Private,Arts,614,459,765,99.73,Graduate,Medium,2.17,Yes,Private,1,Yes,2,382,Fail
10073,Khyber,Female,Private,Arts,781,591,361,86.29,High School,Low,3.05,No,Private,1,No,2,577,C
10074,Charsadda,Male,Private,Arts,303,641,550,74.62,Graduate,Medium,4.79,No,Private,2,No,1,566,C
10075,Charsadda,Male,Regular,Science,626,593,617,57.25,Graduate,High,2.19,No,Private,2,No,1,631,B
10076,Charsadda,Male,Regular,Arts,628,640,423,70.23,College,Medium,1.34,No,Private,0,No,2,458,D
10077,Peshawar,Female,Regular,Arts,739,621,432,79.47,High School,Medium,2.44,No,Private,2,Yes,1,417,D
10078,Chitral,Male,Regular,Arts,589,771,309,70.95,Graduate,High,1.24,Yes,Private,2,No,2,610,B
10079,Mohmand,Male,Private,Arts,426,496,770,89.1,College,Medium,3.8,No,Private,0,No,1,792,A
10080,Mohmand,Female,Private,Arts,517,657,361,54.43,College,High,1.84,Yes,Private,2,No,2,748,A
10081,Mohmand,Male,Regular,Arts,412,457,353,92.43,High School,Medium,2.95,Yes,Private,0,Yes,1,366,Fail
10082,Peshawar,Male,Private,Arts,340,431,527,83.18,College,Low,2.44,Yes,Private,2,Yes,2,756,A
10083,Mohmand,Female,Private,Arts,775,364,652,94.1,College,Low,3.53,No,Private,0,No,1,550,C
10084,Peshawar,Female,Private,Arts,634,618,724,84.86,High School,Low,3.89,No,Private,0,Yes,1,811,A-ONE
10085,Chitral,Female,Private,Science,302,543,513,92.46,High School,Medium,3.56,No,Private,1,No,1,399,Fail
10086,Chitral,Female,Private,Arts,391,602,621,75.29,College,High,1.46,Yes,Public,0,Yes,2,549,C
10087,Peshawar,Male,Private,Science,358,700,571,67.05,High School,High,2.6,No,Private,2,Yes,1,320,Fail
10088,Mohmand,Male,Private,Arts,602,371,741,88.55,Graduate,Low,2.15,No,Public,0,Yes,2,591,C
10089,Khyber,Female,Regular,Science,510,498,715,89.95,High School,Low,2.11,No,Private,2,Yes,2,669,B
10090,Chitral,Male,Private,Arts,392,421,504,57.35,College,Medium,4.89,Yes,Private,2,Yes,2,570,C
10091,Mohmand,Female,Private,Arts,584,405,371,99.77,College,Medium,1.7,No,Public,1,No,2,603,B
10092,Khyber,Female,Private,Arts,778,523,841,90.17,College,High,4.64,Yes,Private,0,No,2,582,C
10093,Mohmand,Male,Regular,Arts,445,806,378,83.15,Graduate,High,2.3,Yes,Public,2,No,2,567,C
10094,Khyber,Male,Private,Science,807,304,448,76.14,College,High,3.56,Yes,Private,2,No,1,663,B
10095,Mohmand,Female,Regular,Arts,587,597,458,64.42,College,Low,2.63,No,Public,2,Yes,1,367,Fail
10096,Khyber,Male,Regular,Arts,408,472,338,84.74,College,Medium,2.47,No,Private,2,Yes,2,365,Fail
10097,Khyber,Male,Private,Arts,688,322,346,63.34,College,High,2.53,Yes,Private,1,Yes,2,663,B
10098,Mohmand,Female,Private,Arts,471,649,352,73.06,High School,High,3.86,No,Private,1,Yes,2,485,D
10099,Peshawar,Male,Regular,Science,829,730,322,57.95,College,Low,2.21,Yes,Public,2,No,2,833,A-ONE
10100,Khyber,Male,Regular,Science,691,812,448,57.11,Graduate,Low,1.08,Yes,Private,1,No,1,416,D
10101,Khyber,Female,Private,Science,755,541,520,56.13,College,Low,1.95,Yes,Private,2,No,1,727,A
10102,Peshawar,Female,Private,Science,444,376,430,77.65,College,Medium,3.22,No,Private,0,Yes,1,373,Fail
10103,Mohmand,Female,Regular,Science,429,707,461,95.95,College,Low,1.46,No,Public,0,No,2,798,A
10104,Chitral,Female,Private,Science,466,301,608,90.13,College,High,4.4,No,Public,2,No,1,685,B
10105,Peshawar,Male,Private,Arts,570,677,382,64.68,High School,Medium,2.77,Yes,Public,1,Yes,1,565,C
10106,Mohmand,Male,Regular,Arts,800,732,451,71.87,College,Medium,2.34,No,Public,0,Yes,1,595,C
10107,Khyber,Male,Regular,Science,332,775,300,50.01,Graduate,Low,4.48,No,Public,0,No,1,423,D
10108,Peshawar,Female,Private,Arts,551,372,380,50.74,High School,High,1.99,Yes,Public,2,No,2,514,C
10109,Mohmand,Male,Private,Science,342,709,804,83.72,College,High,2.12,No,Public,2,Yes,2,459,D
10110,Peshawar,Female,Private,Science,338,776,435,55.13,Graduate,Medium,4.9,Yes,Private,1,Yes,2,525,C
10111,Mohmand,Female,Private,Science,312,804,475,73.16,College,Low,1.96,Yes,Private,1,Yes,1,304,Fail
10112,Chitral,Female,Private,Arts,509,628,359,85.49,High School,Low,3.62,Yes,Public,2,Yes,1,564,C
10113,Peshawar,Female,Private,Arts,798,472,353,88.37,Graduate,Medium,2.09,Yes,Private,0,Yes,2,835,A-ONE
10114,Charsadda,Male,Regular,Science,661,578,393,68.63,High School,Low,2.66,No,Public,0,Yes,2,633,B
10115,Peshawar,Male,Private,Science,525,415,410,57.82,High School,High,2.64,Yes,Public,0,Yes,2,645,B
10116,Chitral,Male,Regular,Arts,536,640,468,56.48,High School,Medium,2.83,No,Private,1,Yes,1,409,D
10117,Charsadda,Female,Private,Science,476,311,788,67.48,College,Low,2.19,Yes,Public,1,No,1,693,B
10118,Khyber,Male,Regular,Science,848,686,578,61.96,High School,Medium,4.44,No,Public,1,No,1,805,A-ONE
10119,Charsadda,Male,Regular,Science,601,765,772,73.61,College,High,3.35,No,Public,2,Yes,1,781,A
10120,Mohmand,Male,Private,Arts,544,820,450,90.11,High School,Medium,4.38,No,Public,2,No,1,632,B
10121,Peshawar,Female,Regular,Science,430,326,401,93.94,Graduate,Low,1.44,Yes,Private,1,Yes,2,377,Fail
10122,Peshawar,Female,Private,Arts,677,406,414,60.06,Graduate,Low,4.78,No,Public,0,No,1,700,A
10123,Khyber,Male,Regular,Arts,633,469,612,93.47,Graduate,High,4.96,Yes,Public,2,No,2,794,A
10124,Chitral,Male,Regular,Arts,847,509,835,61.8,Graduate,Low,4.3,No,Private,2,No,2,680,B
10125,Khyber,Male,Private,Science,820,433,561,70.57,Graduate,Low,4.55,No,Private,1,No,1,789,A
10126,Charsadda,Female,Regular,Arts,636,651,774,91.2,College,High,3.71,Yes,Private,1,Yes,1,711,A
10127,Peshawar,Male,Regular,Science,336,712,783,92.13,High School,Low,4.29,Yes,Private,0,Yes,2,715,A
10128,Charsadda,Female,Regular,Arts,504,834,839,53.97,High School,Low,4.75,Yes,Private,0,Yes,1,614,B
10129,Mohmand,Male,Private,Science,784,321,515,51.95,College,Low,2.43,No,Public,2,No,1,312,Fail
10130,Peshawar,Female,Private,Science,813,450,609,56.35,High School,High,1.7,Yes,Public,1,No,1,379,Fail
10131,Mohmand,Male,Regular,Arts,618,452,536,95.81,High School,High,1.12,Yes,Private,1,Yes,1,526,C
10132,Charsadda,Female,Regular,Arts,776,463,463,71.61,College,High,4.3,Yes,Private,0,No,2,739,A
10133,Peshawar,Male,Regular,Arts,821,705,531,78.73,Graduate,High,2.09,Yes,Private,0,No,2,527,C
10134,Chitral,Male,Regular,Arts,742,353,736,58.17,High School,Medium,1.02,No,Public,2,Yes,2,528,C
10135,Peshawar,Female,Regular,Science,751,790,320,69.9,College,High,1.02,No,Public,1,Yes,1,771,A
10136,Charsadda,Female,Regular,Arts,609,519,362,99.61,College,High,1.59,Yes,Public,2,Yes,1,807,A-ONE
10137,Mohmand,Female,Private,Arts,568,316,529,95.87,High School,Low,4.78,No,Private,2,No,1,747,A
10138,Charsadda,Female,Regular,Arts,769,446,778,84.11,Graduate,Low,4.17,Yes,Public,1,Yes,2,839,A-ONE
